register_number,plan_ref,registration_date,app_type,outcome,decision,decision_date,applicant,proposal,overlap_pct,council_confirmed,planning_portal_url
VS-0864,3577/20,2020-10-16,Permission,Granted,GRANT PERMISSION,2020-12-07,General Motors IT Services Ireland Ltd.,The development will consist of 1.) Change of use,0.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3577%2F20
VS-0864,3218/17,2017-06-21,Permission,Granted,GRANT PERMISSION,2017-08-15,General Motors IT Services Ireland Ltd,Change of use of part of 1st floor from data hall,0.2,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3218%2F17
VS-0864,3164/08,2008-06-10,Permission,Granted,GRANT PERMISSION,2008-07-28,C.B.S Primary School,"A new single storey, ground floor extension to rea",0.9,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3164%2F08
VS-0864,4162/00,2000-12-22,Permission,Granted,GRANT PERMISSION,2001-02-19,Colt Telecom Ireland Limited,The change of use of an existing rear warehouse bu,99.8,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4162%2F00
VS-0976,3378/24,2024-10-09,Permission,Granted,GRANT PERMISSION,2024-11-05,Mulsh Sarl,The proposed development will consist of alteratio,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3378%2F24
VS-0976,3594/23,2023-04-19,Permission,Granted,GRANT PERMISSION,2023-06-12,Mulsh Sarl,The proposed development will consist of the demol,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3594%2F23
VS-0976,3596/22,2023-02-23,Permission,Refused,REFUSE PERMISSION,2023-03-21,Mulsh Sarl,Planning permission is sought for development at a,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=3596%2F22
VS-0976,4567/19,2019-11-28,Permission,Refused,REFUSE PERMISSION,2020-01-31,Mulsh Sarl,Planning permission is sought by Mulsh Sarl for de,100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=4567%2F19
VS-0976,0101/03,2003-03-24,Permission,Granted,GRANT PERMISSION,2003-04-16,"Larkan Catering Ltd.,","1st floor function room, restaurant & lounge exten",100.0,True,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=0101%2F03
VS-0979,2766/21,2021-05-14,Permission,Granted,GRANT PERMISSION,2021-07-08,Electricity Supply Board (ESB),The development will consist of the continued use,0.1,False,https://webapps.dublincity.ie/PublicAccess_Live/SearchResult/RunThirdPartySearch?FileSystemId=PL&Folder1_Ref=2766%2F21
